Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,163.39999389648438,165.77000427246094,163.3300018310547,163.7100067138672,158.15306091308594,10202300
2019-05-29,163.3000030517578,163.5,161.47999572753906,162.72999572753906,157.20628356933594,6456000
2019-05-30,162.8000030517578,163.5,161.94000244140625,162.75999450683594,157.23524475097656,4750600
2019-05-31,160.91000366210938,162.1300048828125,160.55999755859375,161.3300018310547,155.85382080078125,5079000
2019-06-03,161.5399932861328,162.8300018310547,156.75,158.60000610351562,153.2165069580078,8034600
2019-06-04,160.2899932861328,162.3699951171875,158.64999389648438,162.3300018310547,156.81988525390625,6684800
2019-06-05,163.5,165.39999389648438,162.69000244140625,165.38999938964844,159.7760009765625,7769300
2019-06-06,165.8800048828125,167.39999389648438,164.94000244140625,166.9199981689453,161.25408935546875,13738500
2019-06-07,168.0,171.61000061035156,167.8000030517578,170.0500030517578,164.27784729003906,10528800
2019-06-10,171.83999633789062,172.02000427246094,170.50999450683594,170.82000732421875,165.02171325683594,7565900
2019-06-11,171.9499969482422,172.17999267578125,168.4199981689453,170.30999755859375,164.5289764404297,6082900
2019-06-12,170.3800048828125,171.6199951171875,169.6999969482422,171.58999633789062,165.7655487060547,6772000
2019-06-13,172.13999938964844,172.1999969482422,168.72000122070312,169.35000610351562,163.60157775878906,6901400
2019-06-14,169.77000427246094,170.63999938964844,168.83999633789062,169.66000366210938,163.9010772705078,4999900
2019-06-17,169.72999572753906,170.4199981689453,169.02999877929688,169.55999755859375,163.80445861816406,6410200
2019-06-18,170.64999389648438,170.6699981689453,167.5500030517578,169.27999877929688,163.53396606445312,6969300
2019-06-19,169.38999938964844,171.1999969482422,169.2100067138672,170.69000244140625,164.89610290527344,6323900
2019-06-20,172.50999450683594,173.94000244140625,171.75,173.74000549316406,167.84259033203125,11474100
2019-06-21,173.27000427246094,174.80999755859375,173.16000366210938,173.44000244140625,167.55274963378906,11728200
2019-06-24,174.60000610351562,174.72999572753906,172.72000122070312,173.85000610351562,167.9488067626953,5554900
2019-06-25,174.80999755859375,174.94000244140625,170.58999633789062,171.27999877929688,165.46607971191406,9899900
2019-06-26,171.38999938964844,172.38999938964844,170.82000732421875,171.05999755859375,165.2535400390625,7129900
2019-06-27,172.1199951171875,172.39999389648438,170.32000732421875,171.22999572753906,165.4177703857422,5873400
2019-06-28,171.9600067138672,173.5500030517578,170.52000427246094,173.5500030517578,167.6590118408203,8442700
2019-07-01,175.3300018310547,175.5399932861328,172.74000549316406,173.94000244140625,168.0357666015625,6103200
2019-07-02,174.10000610351562,175.32000732421875,173.3000030517578,175.27999877929688,169.330322265625,5238100
2019-07-03,176.0,176.99000549316406,175.72000122070312,176.8699951171875,170.8663330078125,4066600
2019-07-05,175.86000061035156,177.02999877929688,174.50999450683594,176.66000366210938,170.6634521484375,5840400
2019-07-08,176.3000030517578,176.61000061035156,175.39999389648438,176.19000244140625,170.2094268798828,6720300
2019-07-09,175.42999267578125,177.88999938964844,175.3000030517578,177.72999572753906,171.69715881347656,4894300
2019-07-10,178.5800018310547,180.25999450683594,178.5800018310547,179.30999755859375,173.22348022460938,5110600
2019-07-11,180.1199951171875,180.94000244140625,179.4600067138672,180.74000549316406,174.60498046875,6986600
2019-07-12,181.35000610351562,181.35000610351562,178.9199981689453,180.3300018310547,174.20892333984375,7196700
2019-07-15,180.55999755859375,181.07000732421875,179.94000244140625,180.57000732421875,174.4407196044922,4490400
2019-07-16,180.3699951171875,180.8800048828125,178.72999572753906,179.30999755859375,173.22348022460938,6800200
2019-07-17,179.55999755859375,180.2100067138672,179.00999450683594,179.14999389648438,173.06893920898438,3994200
2019-07-18,178.6300048828125,180.6199951171875,178.5800018310547,180.52999877929688,174.40211486816406,4736300
2019-07-19,181.83999633789062,181.83999633789062,179.13999938964844,179.24000549316406,173.15589904785156,5327100
2019-07-22,179.63999938964844,180.97999572753906,179.13999938964844,180.57000732421875,174.4407196044922,4862100
2019-07-23,180.88999938964844,181.27000427246094,179.05999755859375,180.89999389648438,174.75950622558594,7193000
2019-07-24,180.7899932861328,183.42999267578125,179.25,183.3300018310547,177.1070556640625,8169300
2019-07-25,183.8699951171875,183.99000549316406,181.3000030517578,181.58999633789062,175.42613220214844,6085800
2019-07-26,182.41000366210938,183.82000732421875,182.2100067138672,183.69000244140625,177.45486450195312,5056300
2019-07-29,183.88999938964844,184.07000732421875,182.72999572753906,183.2100067138672,176.9910888671875,4621800
2019-07-30,182.5399932861328,183.3800048828125,181.27000427246094,181.52999877929688,175.36813354492188,5236600
2019-07-31,181.7899932861328,182.0500030517578,176.05999755859375,178.0,171.95797729492188,7981200
2019-08-01,179.19000244140625,182.39999389648438,178.1699981689453,179.1699981689453,173.0882568359375,8417300
2019-08-02,178.0,178.27000427246094,174.69000244140625,177.4199981689453,171.39767456054688,8264600
2019-08-05,172.00999450683594,173.5,166.97999572753906,168.86000061035156,163.12823486328125,16858300
2019-08-06,171.7899932861328,172.9499969482422,170.1300048828125,172.47999572753906,166.62535095214844,10281300
2019-08-07,171.5,175.72999572753906,170.33999633789062,175.32000732421875,169.36892700195312,8292800
2019-08-08,177.4600067138672,179.9499969482422,176.57000732421875,179.89999389648438,173.7935028076172,7602800
2019-08-09,179.6699981689453,180.10000610351562,177.85000610351562,179.0500030517578,172.9723663330078,5373700
2019-08-12,177.44000244140625,178.64999389648438,175.60000610351562,176.33999633789062,170.3543243408203,7394400
2019-08-13,174.38999938964844,178.9199981689453,174.2100067138672,178.61000061035156,172.54725646972656,6667700
2019-08-14,176.24000549316406,177.25,173.16000366210938,173.50999450683594,167.620361328125,7293500
2019-08-15,174.25999450683594,177.02000427246094,173.52000427246094,176.27000427246094,170.5323944091797,6698000
2019-08-16,178.0,178.75,177.1999969482422,178.22999572753906,172.42860412597656,8312200
2019-08-19,180.4199981689453,180.4199981689453,178.1199951171875,179.74000549316406,173.8894805908203,5285000
2019-08-20,179.42999267578125,180.6300048828125,178.49000549316406,179.24000549316406,173.40573120117188,3793600
2019-08-21,180.69000244140625,181.69000244140625,180.24000549316406,180.94000244140625,175.05039978027344,3695900
2019-08-22,181.9499969482422,182.3300018310547,178.61000061035156,180.08999633789062,174.22804260253906,6659900
2019-08-23,179.5500030517578,180.5,174.24000549316406,175.22999572753906,169.52622985839844,7051900
